%1. Title: Bundesliga Spielprognose
	@RELATION spiel

%Letzte drei Spiele
	@ATTRIBUTE tore NUMERIC
	@ATTRIBUTE gegentore NUMERIC
%Letzte fuenf Spiele
	@ATTRIBUTE niederlagen NUMERIC
	@ATTRIBUTE steigung NUMERIC
	@ATTRIBUTE heimvorteil {heim,gast}
	@ATTRIBUTE tag {montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag}
	@ATTRIBUTE ausgang {sieg,niederlage,unentschieden}

	@DATA
	4,4,1,0,gast,samstag,sieg
	2,4,2,1,heim,samstag,niederlage
	6,4,3,2,heim,freitag,niederlage
	3,2,3,0,gast,freitag,sieg
	5,3,3,0,heim,freitag,sieg
	3,5,2,-1,gast,freitag,niederlage
	6,5,3,0,heim,freitag,sieg
	3,1,1,3,gast,freitag,niederlage
	6,3,3,1,gast,freitag,sieg
	5,4,1,4,heim,freitag,niederlage
	2,2,1,-1,heim,montag,niederlage
	8,4,2,4,gast,montag,sieg
	4,9,0,0,gast,freitag,unentschieden
	8,4,2,2,heim,freitag,unentschieden
	4,6,1,1,gast,samstag,unentschieden
	2,5,3,-2,heim,samstag,unentschieden
	5,6,1,0,heim,samstag,niederlage
	1,4,2,-4,gast,samstag,sieg
	4,4,2,-1,gast,sonntag,niederlage
	9,4,2,0,heim,sonntag,sieg
	6,0,2,1,heim,sonntag,unentschieden
	3,5,1,0,gast,sonntag,unentschieden
	3,2,1,0,gast,sonntag,niederlage
	3,6,1,0,heim,sonntag,sieg
	4,6,0,-1,heim,samstag,unentschieden
	4,7,2,0,gast,samstag,unentschieden
	4,9,1,2,heim,samstag,unentschieden
	5,1,5,0,gast,samstag,unentschieden
	5,5,2,1,heim,samstag,unentschieden
	4,5,3,-2,gast,samstag,unentschieden
	8,4,2,1,gast,samstag,sieg
	5,3,3,0,heim,samstag,niederlage
	3,4,2,-2,heim,samstag,unentschieden
	7,4,3,1,gast,samstag,unentschieden
	4,2,3,1,gast,samstag,niederlage
	2,4,1,-2,heim,samstag,sieg
	11,1,2,6,gast,samstag,niederlage
	2,4,0,0,heim,samstag,sieg
	3,3,1,-2,heim,samstag,niederlage
	4,3,2,1,gast,samstag,sieg
	4,3,3,2,heim,samstag,niederlage
	3,2,2,-1,gast,samstag,sieg
	2,7,0,0,heim,samstag,sieg
	1,4,0,-1,gast,samstag,niederlage
	7,5,1,3,heim,samstag,sieg
	8,4,4,-1,gast,samstag,niederlage
	6,2,3,0,gast,samstag,niederlage
	11,3,2,3,heim,samstag,sieg
	4,5,1,-1,heim,samstag,niederlage
	5,3,4,-2,gast,samstag,sieg
	4,4,2,1,heim,samstag,sieg
	8,6,2,1,gast,samstag,niederlage
